Date;Day;Round;Venue;Result;Squad;Opponent;Start;Pos;Min;Gls;Ast;PK;PKatt;Sh;SoT;CrdY;CrdR;Touches;Press;Tkl;Int;Blocks;xG;npxG;xA;SCA;GCA;Cmp;Att;Cmp%;Prog;Carries;Prog;Succ;Att;Rating;MOTM
12/03/2022;Sat;Matchweek 29;Home;W 3–2;Manchester Utd;Tottenham;N;FW;11;0;0;0;0;0;0;0;0;8;2;0;0;0;0;0;0;0;0;3;6;50;0;5;0;0;1;6;
08/02/2022;Tue;Matchweek 24;Away;D 1–1;Manchester Utd;Burnley;Y;FW;67;0;0;0;0;2;1;0;0;27;5;0;1;1;0,7;0,7;0;0;0;16;20;80;0;8;1;0;0;6,4;
22/01/2022;Sat;Matchweek 23;Home;W 1–0;Manchester Utd;West Ham;N;FW;9;0;1;0;0;0;0;0;0;6;0;0;0;0;0;0;0,8;1;1;5;5;100;0;4;0;0;0;0;
15/01/2022;Sat;Matchweek 22;Away;D 2–2;Manchester Utd;Aston Villa;Y;FW;90;0;0;0;0;0;0;0;0;33;11;1;0;1;0;0;0,1;1;0;20;26;76,9;0;22;0;0;0;6,3;
03/01/2022;Mon;Matchweek 21;Home;L 0–1;Manchester Utd;Wolves;Y;FW;90;0;0;0;0;1;0;0;0;38;16;1;0;1;0,1;0,1;0;0;0;25;33;75,8;1;22;1;2;2;6,4;
30/12/2021;Thu;Matchweek 20;Home;W 3–1;Manchester Utd;Burnley;Y;FW;90;0;0;0;0;1;0;0;0;24;7;0;0;0;0,1;0,1;0,2;1;0;17;19;89,5;1;13;1;1;1;7,2;
27/12/2021;Mon;Matchweek 19;Away;D 1–1;Manchester Utd;Newcastle Utd;N;FW;45;1;0;0;0;5;1;0;0;21;6;0;0;0;0,8;0,8;0;1;1;9;11;81,8;1;9;0;1;1;7,5;
30/10/2021;Sat;Matchweek 10;Away;W 3–0;Manchester Utd;Tottenham;Y;FW;81;1;0;0;0;4;1;0;0;33;21;1;1;2;0,7;0,7;0;0;0;17;24;70,8;2;18;1;0;0;7,6;
24/10/2021;Sun;Matchweek 9;Home;L 0–5;Manchester Utd;Liverpool;N;FW;29;0;0;0;0;1;0;0;0;9;2;1;3;0;0,6;0,6;0;0;0;4;4;100;0;3;0;0;0;6,3;
02/10/2021;Sat;Matchweek 7;Home;D 1–1;Manchester Utd;Everton;Y;FW;56;0;0;0;0;1;1;0;0;30;7;0;2;2;0,1;0,1;0;1;0;17;23;73,9;0;17;0;0;0;6,3;
